"country","iso2c","id","year","membership","wdi_gdp_growth","wdi_npl_ratio","wdi_risk_premium_lending","wdi_domestic_credit","wdi_liquid_reserves_ratio","grouping"
"Austria","AT","AUT",2005,"SSM",2.14068273200179,2.6,NA,126.274039387888,1.10582670927067,"Western Europe"
"Austria","AT","AUT",2006,"SSM",3.35083069097276,2.739,NA,126.004022846164,1.04554725551888,"Western Europe"
"Austria","AT","AUT",2007,"SSM",3.62150877391298,2.242,NA,123.159839078813,1.59135386037547,"Western Europe"
"Austria","AT","AUT",2008,"SSM",1.54726417692326,1.90306942802893,NA,126.732609099039,2.70161775922283,"Western Europe"
"Austria","AT","AUT",2009,"SSM",-3.7990762295855,2.25042258658752,NA,135.264061752896,2.99877811294818,"Western Europe"
"Austria","AT","AUT",2010,"SSM",1.88009468112263,2.83071715205898,NA,133.72994636275,2.61455124314296,"Western Europe"
"Austria","AT","AUT",2011,"SSM",3.07142722522028,2.70681550509306,NA,131.846768667588,3.53667028930421,"Western Europe"
"Austria","AT","AUT",2012,"SSM",0.883845320080638,2.81336476630545,NA,130.673968928273,4.14903349620835,"Western Europe"
"Austria","AT","AUT",2013,"SSM",0.228020373528054,2.86654169526513,NA,127.885599562324,2.71946760075512,"Western Europe"
"Belgium","BE","BEL",2005,"SSM",1.89394768030024,2,4.69666666666666,100.860613298658,1.4864986232473,"Western Europe"
"Belgium","BE","BEL",2006,"SSM",2.63034348041558,1.28,4.76416666666667,105.772000526624,1.58551121137216,"Western Europe"
"Belgium","BE","BEL",2007,"SSM",3.00033313968164,1.163,4.77166666666666,108.674270174528,3.08540585167365,"Western Europe"
"Belgium","BE","BEL",2008,"SSM",0.953305110670286,1.66567895264277,5.5775,110.289509963655,1.91736381996231,"Western Europe"
"Belgium","BE","BEL",2009,"SSM",-2.61859430698294,3.11494720432593,8.92,115.748033972858,2.7855851576211,"Western Europe"
"Belgium","BE","BEL",2010,"SSM",2.50108037001482,2.83293355859858,NA,113.477622509549,2.47494772444211,"Western Europe"
"Belgium","BE","BEL",2011,"SSM",1.63826607742912,3.34867691887318,NA,113.735708199098,4.38605866863589,"Western Europe"
"Belgium","BE","BEL",2012,"SSM",0.0945892922423468,3.79788657164245,NA,113.014588634305,3.74577996891914,"Western Europe"
"Belgium","BE","BEL",2013,"SSM",0.274845628241096,4.31853746709079,NA,111.234039388042,2.57436419846374,"Western Europe"
"Bulgaria","BG","BGR",2005,"EU Non-SSM",5.955290762375,2.2,6.42931666666666,39.6769389465205,12.3042009926189,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2006,"EU Non-SSM",6.47039846646828,2.2,6.315825,40.1971942722721,13.495990076389,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2007,"EU Non-SSM",6.90738097449461,2.1,6.20874166666667,53.6996244091161,14.7716741496909,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2008,"EU Non-SSM",5.75470199025656,2.40390652919768,6.801425,62.4681009554848,10.7125777724622,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2009,"EU Non-SSM",-5.01193614780895,6.42293385932725,6.67,67.4215256986089,9.79563597103954,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2010,"EU Non-SSM",0.655325112354802,11.9177087634194,8.5843666666667,69.5677007863437,11.3292678833104,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2011,"EU Non-SSM",1.98200175317893,14.9736139565097,9.3794583333333,68.492562105404,11.2525225218816,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2012,"EU Non-SSM",0.492189958319528,16.6263209293069,NA,68.8066755975467,13.4839261578939,"Southeastern/Balkan Europe"
"Bulgaria","BG","BGR",2013,"EU Non-SSM",1.06586374688172,16.8785208328338,8.65031666666667,71.0786057283081,11.8678723649349,"Southeastern/Balkan Europe"
"Switzerland","CH","CHE",2005,"EEA/Other",3.03830532258458,0.5,2.40666666666667,161.778149938993,NA,"Western Europe"
"Switzerland","CH","CHE",2006,"EEA/Other",4.01278552189983,0.3,1.67,165.528444204586,NA,"Western Europe"
"Switzerland","CH","CHE",2007,"EEA/Other",4.14034836968527,0.3,0.9875,168.121440125265,NA,"Western Europe"
"Switzerland","CH","CHE",2008,"EEA/Other",2.27724008240516,0.886594699149405,2.00875,165.843439279637,NA,"Western Europe"
"Switzerland","CH","CHE",2009,"EEA/Other",-2.12961849809409,1.03418267282031,NA,176.144515957014,NA,"Western Europe"
"Switzerland","CH","CHE",2010,"EEA/Other",2.95381675627982,0.856718806253796,2.70666666666666,173.536321628381,NA,"Western Europe"
"Switzerland","CH","CHE",2011,"EEA/Other",1.80455390672884,0.809200246145863,2.86166666666666,175.643488756486,NA,"Western Europe"
"Switzerland","CH","CHE",2012,"EEA/Other",1.10917415693609,0.772180670612685,2.9975,182.827304386804,NA,"Western Europe"
"Switzerland","CH","CHE",2013,"EEA/Other",1.91561362562231,0.760409690824164,2.78875,173.429315611155,NA,"Western Europe"
"Cyprus","CY","CYP",2005,"SSM",3.90996323199712,NA,2.755,191.229085518543,4.90471728662476,"Southeastern/Balkan Europe"
"Cyprus","CY","CYP",2006,"SSM",4.12531285060844,NA,4.13083333336667,204.334353232211,5.4489977078455,"Southeastern/Balkan Europe"
"Cyprus","CY","CYP",2007,"SSM",5.13054289266472,NA,3.15083333333333,224.190050893841,3.31414763987401,"Southeastern/Balkan Europe"
"Cyprus","CY","CYP",2008,"SSM",3.62661620939765,3.59414927681707,NA,280.170069994794,1.65608331216662,"Southeastern/Balkan Europe"
